Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,1,834,405
97,1,819,382
98,1,819,375
99,1,812,367
100,1,812,363
101,1,801,352
102,1,797,352
103,1,790,345
104,1,790,345
105,1,786,345
106,1,786,345
107,1,775,352
108,1,775,348
109,1,834,307
110,1,834,307
111,1,864,288
112,1,864,292
113,1,886,277
114,1,886,277
115,1,927,258
116,1,927,258
117,1,968,251
118,1,968,251
119,1,1006,255
120,1,1006,255
121,1,1039,262
122,1,1039,262
123,1,1054,270
124,1,1054,270
125,1,1088,296
126,1,1084,292
127,1,1114,326
128,1,1114,326
129,1,1125,345
130,1,1125,345
131,1,1155,390
132,1,1155,386
133,1,1170,438
134,1,1173,442
135,1,1185,468
136,1,1181,468
137,1,1199,521
138,1,1199,521
139,1,1218,588
140,1,1218,588
141,1,1226,626
142,1,1226,626
143,1,939,472
144,1,1188,502
145,1,1170,431
146,1,1170,431
147,1,1158,401
148,1,1158,397
149,1,1144,367
150,1,1144,367
151,1,1132,348
152,1,1132,348
153,1,1129,345
154,1,1125,341
155,1,1125,341
156,1,1121,341
157,1,1117,341
158,1,1117,345
159,1,1114,345
160,1,1114,348
161,1,1110,360
162,1,1110,363
163,1,1103,371
164,0,0,0
165,1,1073,330
166,1,1073,330
167,1,1050,311
168,1,1050,311
169,1,1013,277
170,1,1013,277
171,1,983,255
172,1,980,255
173,1,954,240
174,1,950,240
175,1,924,236
176,1,920,236
177,1,909,240
178,1,909,240
179,1,886,247
180,1,883,247
181,1,860,266
182,1,860,266
183,1,845,281
184,1,849,277
185,1,823,311
186,1,827,311
187,1,804,352
188,1,804,352
189,1,793,375
190,1,793,375
191,1,771,427
192,1,771,427
193,1,756,483
194,1,756,480
195,1,749,510
196,1,749,506
197,1,734,573
198,1,734,573
199,1,715,641
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,1,678,933
217,1,678,933
218,1,678,933
219,1,681,937
