Frame,Visibility,X,Y
229,1,897,120
230,1,874,105
231,1,874,105
232,1,867,101
233,1,867,101
234,1,848,97
235,1,848,97
236,1,837,101
237,1,833,101
238,1,829,105
239,1,829,105
240,1,811,127
241,1,807,135
242,1,799,146
243,1,799,150
244,1,796,161
245,1,796,161
246,1,788,183
247,1,788,187
248,1,785,213
249,1,781,213
250,1,777,228
251,1,773,228
252,1,755,202
253,1,755,202
254,1,736,191
255,1,732,191
256,1,732,187
257,1,732,187
258,1,721,187
259,1,717,187
260,1,710,191
261,1,706,191
262,1,702,195
263,1,699,195
264,1,691,210
265,1,691,210
266,1,680,232
267,1,680,236
268,1,676,247
269,1,676,251
270,1,665,285
271,1,665,285
272,1,657,326
273,1,657,330
274,1,654,345
275,1,654,345
276,1,642,393
277,1,646,390
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,1,986,333
297,1,990,333
298,1,998,330
299,1,1001,330
300,1,1016,337
301,1,1016,337
302,1,1039,348
303,1,971,345
304,1,1039,345
305,1,1046,352
306,1,1054,367
307,1,1054,363
308,1,1072,390
309,1,1072,393
310,1,1080,405
311,1,1084,408
312,1,1091,438
313,1,1095,438
314,1,1106,476
315,1,1106,480
316,1,1110,498
317,1,1110,498
318,1,1121,543
319,1,1121,543
320,1,1128,596
321,0,0,0
322,0,0,0
323,0,0,0
324,1,1080,540
325,1,1084,540
326,0,0,0
327,0,0,0
328,1,1020,423
329,1,1001,416
330,1,986,408
331,1,986,408
332,1,960,390
333,1,960,386
334,1,949,382
335,1,949,382
336,1,927,375
337,1,927,375
338,1,904,371
339,1,904,375
340,1,897,375
341,1,897,375
342,1,885,382
343,1,874,386
344,1,859,405
345,1,859,405
346,1,859,405
347,1,856,405
348,1,859,405
349,0,0,0
350,1,829,457
351,1,829,453
352,1,822,468
353,1,822,468
354,1,811,412
355,1,811,416
356,1,803,367
357,1,803,363
358,1,799,345
359,1,799,345
360,1,792,315
361,1,792,315
362,1,785,300
363,1,785,300
364,1,781,292
365,1,781,292
366,1,777,292
367,1,777,292
368,1,770,300
369,1,770,303
370,1,770,311
371,1,766,315
372,1,762,326
373,1,762,326
374,1,758,356
375,1,758,352
376,1,755,393
377,1,755,393
378,1,751,438
379,1,747,438
380,1,743,491
381,1,743,491
382,1,740,517
383,1,743,517
384,1,736,577
385,1,736,577
386,1,740,532
387,1,740,528
388,1,743,491
389,1,747,491
390,1,751,450
391,1,751,450
392,1,751,427
393,1,755,427
394,1,755,423
395,1,755,423
396,1,755,420
397,1,755,420
398,1,758,420
399,1,758,420
400,1,758,420
401,1,758,420
402,1,762,427
403,1,762,435
404,1,762,442
405,1,762,442
406,1,762,450
407,1,766,450
408,1,755,442
409,1,755,442
410,1,751,420
411,1,751,416
412,1,747,408
413,1,743,405
414,1,740,397
415,1,740,397
416,0,0,0
417,0,0,0
