Frame,Visibility,X,Y
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,1,1013,15
13,1,1013,15
14,1,1016,63
15,1,1016,63
16,1,1020,86
17,1,1020,86
18,1,1020,127
19,1,1024,131
20,1,953,228
21,1,949,228
22,1,904,292
23,1,904,296
24,0,0,0
25,0,0,0
26,1,777,472
27,1,777,472
28,1,755,513
29,1,755,510
30,1,710,585
31,1,710,585
32,1,672,656
33,1,672,652
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,1,654,502
43,1,650,506
44,1,661,450
45,1,661,450
46,1,665,431
47,1,665,427
48,1,672,401
49,1,672,397
50,1,680,375
51,1,680,371
52,1,680,367
53,1,684,367
54,1,687,367
55,1,687,367
56,1,691,367
57,1,695,367
58,1,695,371
59,1,699,375
60,1,702,386
61,1,702,390
62,1,706,393
63,1,706,393
64,1,710,405
65,1,710,405
66,1,706,401
67,1,702,397
68,1,702,390
69,1,702,386
70,1,699,382
71,1,699,382
72,1,702,378
73,1,699,378
74,1,699,378
75,1,695,378
76,1,695,382
77,1,691,382
78,1,684,397
79,1,684,397
80,1,676,416
81,1,676,420
82,1,672,431
83,1,672,431
84,1,669,465
85,1,669,461
86,1,665,502
87,1,665,498
88,1,661,517
89,1,661,517
90,0,0,0
91,0,0,0
92,1,725,423
93,1,728,423
94,1,758,337
95,1,758,337
96,1,803,236
97,1,807,232
98,1,848,131
99,1,852,127
100,1,863,101
101,1,863,101
102,1,893,48
103,1,893,45
104,1,919,7
105,1,919,7
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,1,1050,18
127,1,1054,18
128,1,1061,48
129,1,1061,52
130,1,1065,63
131,1,1065,63
132,1,1072,97
133,1,1072,97
134,1,1084,135
135,1,1084,135
136,1,1084,153
137,1,1084,150
138,0,0,0
139,0,0,0
140,1,934,296
141,1,934,296
142,1,912,322
143,1,912,318
144,1,874,363
145,1,874,363
146,1,844,408
147,1,844,412
148,1,826,438
149,1,826,435
150,1,799,487
151,1,799,483
152,1,773,540
153,1,773,540
154,1,762,566
155,1,758,570
156,1,751,592
157,1,751,592
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,1,728,532
163,1,728,532
164,1,736,476
165,1,736,472
166,1,736,453
167,1,736,450
168,1,736,420
169,1,736,420
170,1,740,397
171,1,740,390
172,1,740,386
173,1,740,382
174,1,740,375
175,1,743,371
176,1,743,371
177,1,743,371
178,1,743,371
179,1,747,371
180,1,747,375
181,1,747,378
182,1,751,390
183,1,751,390
184,1,751,401
185,1,755,401
186,1,755,420
187,1,755,420
188,1,755,420
189,0,0,0
190,1,833,378
191,0,0,0
192,0,0,0
193,0,0,0
194,1,904,345
195,1,908,345
196,1,923,345
197,1,923,341
198,1,975,345
199,1,975,345
200,1,1001,352
201,1,1005,352
202,1,1016,356
203,1,1016,356
204,1,1042,378
205,1,1046,378
206,1,1069,405
207,1,1069,405
208,1,1080,420
209,1,1080,420
210,1,1099,450
211,1,1102,450
212,1,1121,491
213,1,1121,487
214,1,1102,461
215,1,1102,465
216,1,1076,405
217,1,1076,405
218,1,1020,300
219,1,1020,300
220,1,998,258
221,1,998,255
222,1,960,202
223,1,960,198
224,1,930,157
225,1,930,153
226,1,919,142
227,1,919,142
228,1,897,120
